Date,Visitor,Home,goals_home,goals_visit,length,attendance,note
2016-03-28,Buffalo Sabres,Detroit Red Wings,3,2,2:30,20027,
2016-03-28,Anaheim Ducks,Edmonton Oilers,1,2,2:27,16839,
2016-03-28,Colorado Avalanche,Nashville Predators,3,4,2:34,16443,
2016-03-28,Winnipeg Jets,Philadelphia Flyers,3,2,2:36,19100,OT
2016-03-28,Los Angeles Kings,San Jose Sharks,5,2,2:29,17066,
2016-03-28,Toronto Maple Leafs,Tampa Bay Lightning,3,0,2:31,19092,
2016-03-28,Columbus Blue Jackets,Washington Capitals,4,1,2:26,18506,
2016-03-29,Nashville Predators,Dallas Stars,5,2,2:36,18265,
2016-03-29,Toronto Maple Leafs,Florida Panthers,2,5,2:25,16724,
2016-03-29,Chicago Blackhawks,Minnesota Wild,4,1,2:19,19190,
2016-03-29,Detroit Red Wings,Montreal Canadiens,4,3,2:39,21288,
2016-03-29,Boston Bruins,New Jersey Devils,2,1,2:27,15486,
2016-03-29,Carolina Hurricanes,New York Islanders,2,1,2:35,13733,SO
2016-03-29,Buffalo Sabres,Pittsburgh Penguins,5,4,2:48,18513,SO
2016-03-29,Colorado Avalanche,St. Louis Blues,3,1,2:27,19263,
2016-03-29,San Jose Sharks,Vancouver Canucks,1,4,2:30,18315,
2016-03-30,Calgary Flames,Anaheim Ducks,8,3,2:32,16004,
2016-03-30,Washington Capitals,Philadelphia Flyers,2,1,2:50,19850,SO
2016-03-30,Ottawa Senators,Winnipeg Jets,1,2,2:18,15294,
2016-03-31,Toronto Maple Leafs,Buffalo Sabres,4,1,2:40,18873,
2016-03-31,New York Rangers,Carolina Hurricanes,4,3,2:31,16336,
2016-03-31,Arizona Coyotes,Dallas Stars,4,1,2:28,18532,
2016-03-31,New Jersey Devils,Florida Panthers,3,2,2:34,15803,
2016-03-31,Calgary Flames,Los Angeles Kings,3,0,2:21,18417,
2016-03-31,Ottawa Senators,Minnesota Wild,2,3,2:20,19032,
2016-03-31,Columbus Blue Jackets,New York Islanders,4,3,2:30,13857,
2016-03-31,Nashville Predators,Pittsburgh Penguins,5,2,2:26,18560,
2016-03-31,Vancouver Canucks,San Jose Sharks,2,4,2:28,15689,
2016-03-31,Montreal Canadiens,Tampa Bay Lightning,0,3,2:29,19092,
2016-04-01,Vancouver Canucks,Anaheim Ducks,2,3,2:29,16331,
2016-04-01,Washington Capitals,Colorado Avalanche,2,4,2:24,18049,
2016-04-01,Minnesota Wild,Detroit Red Wings,3,2,2:25,20027,
2016-04-01,Boston Bruins,St. Louis Blues,5,6,2:40,19202,
2016-04-01,Chicago Blackhawks,Winnipeg Jets,4,5,2:38,15294,OT
2016-04-02,Washington Capitals,Arizona Coyotes,3,0,2:18,17125,
2016-04-02,Columbus Blue Jackets,Carolina Hurricanes,1,5,2:26,11542,
2016-04-02,Calgary Flames,Edmonton Oilers,0,5,2:25,16839,
2016-04-02,Montreal Canadiens,Florida Panthers,4,3,2:38,17427,
2016-04-02,Dallas Stars,Los Angeles Kings,2,3,2:52,18230,
2016-04-02,San Jose Sharks,Nashville Predators,2,3,2:40,17113,SO
2016-04-02,Pittsburgh Penguins,New York Islanders,0,5,2:36,15795,
2016-04-02,Buffalo Sabres,New York Rangers,3,4,2:31,18006,
2016-04-02,Ottawa Senators,Philadelphia Flyers,3,2,2:23,19578,
2016-04-02,New Jersey Devils,Tampa Bay Lightning,3,1,2:35,19092,
2016-04-02,Detroit Red Wings,Toronto Maple Leafs,2,3,2:30,19371,
2016-04-03,Dallas Stars,Anaheim Ducks,3,1,2:24,16585,
2016-04-03,Boston Bruins,Chicago Blackhawks,6,4,2:31,22156,
2016-04-03,St. Louis Blues,Colorado Avalanche,1,5,2:34,15485,
2016-04-03,Philadelphia Flyers,Pittsburgh Penguins,6,2,2:37,18673,
2016-04-03,Minnesota Wild,Winnipeg Jets,5,1,2:25,15294,
2016-04-04,New York Rangers,Columbus Blue Jackets,2,4,2:29,15951,
2016-04-04,Tampa Bay Lightning,New York Islanders,5,2,2:25,13106,
2016-04-04,Arizona Coyotes,St. Louis Blues,5,2,2:30,19465,
2016-04-04,Florida Panthers,Toronto Maple Leafs,3,4,2:50,18846,
2016-04-04,Los Angeles Kings,Vancouver Canucks,3,2,2:24,18415,
2016-04-05,Winnipeg Jets,Anaheim Ducks,1,2,2:32,16743,OT
2016-04-05,Carolina Hurricanes,Boston Bruins,1,2,2:40,17565,SO
2016-04-05,Los Angeles Kings,Calgary Flames,4,5,2:33,18438,OT
2016-04-05,Arizona Coyotes,Chicago Blackhawks,6,2,2:22,21884,
2016-04-05,San Jose Sharks,Minnesota Wild,0,3,2:21,19061,
2016-04-05,Florida Panthers,Montreal Canadiens,1,4,2:22,21288,
2016-04-05,Buffalo Sabres,New Jersey Devils,1,3,2:24,14773,
2016-04-05,Colorado Avalanche,Nashville Predators,4,3,2:35,17113,
2016-04-05,Tampa Bay Lightning,New York Rangers,3,2,2:30,18006,
2016-04-05,Pittsburgh Penguins,Ottawa Senators,3,5,2:28,19284,
2016-04-05,New York Islanders,Washington Capitals,3,4,2:33,18506,OT
2016-04-06,Philadelphia Flyers,Detroit Red Wings,3,0,2:44,20027,
2016-04-06,Vancouver Canucks,Edmonton Oilers,6,2,2:31,16839,
2016-04-06,Columbus Blue Jackets,Toronto Maple Leafs,1,5,2:23,18837,
2016-04-07,Detroit Red Wings,Boston Bruins,5,2,2:28,17565,
2016-04-07,Montreal Canadiens,Carolina Hurricanes,2,4,2:27,15120,
2016-04-07,Vancouver Canucks,Calgary Flames,7,3,2:23,19289,
2016-04-07,St. Louis Blues,Chicago Blackhawks,1,2,2:31,22075,OT
2016-04-07,Colorado Avalanche,Dallas Stars,4,2,2:27,18532,
2016-04-07,Anaheim Ducks,Los Angeles Kings,2,1,2:39,18511,
2016-04-07,Tampa Bay Lightning,New Jersey Devils,2,4,2:24,15536,
2016-04-07,Arizona Coyotes,Nashville Predators,3,2,2:32,17113,OT
2016-04-07,New York Islanders,New York Rangers,1,4,2:20,18006,
2016-04-07,Florida Panthers,Ottawa Senators,3,1,2:26,19165,
2016-04-07,Toronto Maple Leafs,Philadelphia Flyers,3,4,2:42,19674,OT
2016-04-07,Winnipeg Jets,San Jose Sharks,4,5,2:26,15900,
2016-04-07,Pittsburgh Penguins,Washington Capitals,3,4,2:37,18506,OT
2016-04-08,Columbus Blue Jackets,Buffalo Sabres,1,4,2:20,19070,
2016-04-09,Ottawa Senators,Boston Bruins,1,6,2:37,17565,
2016-04-09,Chicago Blackhawks,Columbus Blue Jackets,5,4,2:31,19177,OT
2016-04-09,Anaheim Ducks,Colorado Avalanche,3,5,2:27,17932,
2016-04-09,Nashville Predators,Dallas Stars,3,2,2:29,18532,
2016-04-09,Carolina Hurricanes,Florida Panthers,5,2,2:24,18434,
2016-04-09,Winnipeg Jets,Los Angeles Kings,3,4,2:46,18449,SO
2016-04-09,Calgary Flames,Minnesota Wild,1,2,2:26,19247,
2016-04-09,Tampa Bay Lightning,Montreal Canadiens,5,2,2:35,21288,
2016-04-09,Toronto Maple Leafs,New Jersey Devils,5,1,2:19,16514,
2016-04-09,Buffalo Sabres,New York Islanders,3,4,2:29,14811,OT
2016-04-09,Detroit Red Wings,New York Rangers,3,2,2:31,18006,
2016-04-09,Pittsburgh Penguins,Philadelphia Flyers,3,1,2:35,19919,
2016-04-09,Arizona Coyotes,San Jose Sharks,1,0,2:19,17562,
2016-04-09,Washington Capitals,St. Louis Blues,1,5,2:23,19610,
2016-04-09,Edmonton Oilers,Vancouver Canucks,4,3,2:52,18570,SO
2016-04-10,Philadelphia Flyers,New York Islanders,2,5,2:18,14244,
2016-04-10,Anaheim Ducks,Washington Capitals,0,2,2:22,18506,
